"id","geom","capacity","college_name"
8,"MULTIPOLYGON (((29.919990362264244 40.82210663459479, 29.920333359934776 40.821855663745275, 29.920229568677495 40.82177527923817, 29.920262814314594 40.821748279839866, 29.920304979512863 40.821782029086016, 29.920427420761673 40.82168998564697, 29.920123344812616 40.82145558111205, 29.920007390517387 40.82154517037765, 29.920045501369664 40.821577692478385, 29.92001225573257 40.82160407832196, 29.919914140559676 40.821527375259194, 29.919563034197175 40.82178386995348, 29.919697638483953 40.82188818569375, 29.919786834095678 40.82182068729232, 29.91994171011239 40.82194463884948, 29.91986143406185 40.82200661454119, 29.919990362264244 40.82210663459479)))",300,Teknoloji Fakültesi
5,"MULTIPOLYGON (((29.924427708802458 40.822047113476756, 29.92445798125249 40.822047113476756, 29.924460143570357 40.82207493091314, 29.924577989893717 40.822078203551925, 29.924574746416926 40.8220552950769, 29.924602856549107 40.82205284059695, 29.924600694231252 40.82202911395288, 29.92464934638309 40.82203238659396, 29.92465367101882 40.82211174809039, 29.924694755058155 40.822114202568144, 29.92469583621708 40.82215020156484, 29.924879633235175 40.82215101972362, 29.924878552076244 40.82212402047828, 29.92491639263879 40.82212565679649, 29.924919636115586 40.82215101972362, 29.925093702703304 40.82215347419993, 29.925094783862235 40.822008659942554, 29.925269931608884 40.822008659942554, 29.925269931608884 40.821833573356066, 29.925100189656874 40.821836027844114, 29.925093702703297 40.82167975859029, 29.924919636115586 40.82168630390673, 29.924918554956655 40.82170430352363, 29.924886120188756 40.82170512168793, 29.924889363665546 40.82167894042568, 29.92470124201173 40.821678122261076, 29.92470232317066 40.82171575782276, 29.924655833336672 40.821717394151044, 29.924653671018813 40.82180411949235, 29.924608262343757 40.8218065739815, 29.924608262343757 40.82178202908599, 29.924581233370503 40.82178448357594, 29.924581233370503 40.82174848438078, 29.92446122472928 40.821750120708245, 29.92446338704714 40.82178039275931, 29.924426627643513 40.82178366541264, 29.924427708802458 40.822047113476756)))",300,Eğitim Fakültesi
3,"MULTIPOLYGON (((29.923105451431123 40.82325634302947, 29.923251407886667 40.82312543967654, 29.92331087162781 40.82318270992523, 29.92312923692758 40.82332424904202, 29.923263300634893 40.823447788717885, 29.923317358581386 40.82340769970923, 29.92335087450822 40.82343060771714, 29.923461152719078 40.82335942923806, 29.923334657124276 40.823253070448786, 29.923383309276122 40.82321707205073, 29.92352061646023 40.82331688574282, 29.92359305410853 40.82332424904202, 29.92369684536581 40.82324816157748, 29.92369576420688 40.82320807244814, 29.923588729472815 40.8231049860043, 29.923643868578242 40.823078805294635, 29.923774688808766 40.823171255879444, 29.923893616291064 40.82311071303316, 29.923829827914194 40.823064078640904, 29.92387415543032 40.82303380717575, 29.923733604769424 40.82292008452106, 29.923503317917348 40.82304771568848, 29.923391958547562 40.82296262827082, 29.923570349771 40.82282354283381, 29.923454665765494 40.8227392732801, 29.923399526660074 40.82277854454175, 29.92341898752081 40.82279327125888, 29.92327194990634 40.822907812280484, 29.923174645602643 40.82294708344234, 29.923147616629386 40.823010080882604, 29.923025445670305 40.823113985620864, 29.922991929743475 40.82309516823939, 29.922936790638055 40.82313689373024, 29.923105451431123 40.82325634302947)))",350,İletişim Fakültesi
6,"MULTIPOLYGON (((29.92581375455068 40.82244719254188, 29.926029986336665 40.82244146545573, 29.926031067495597 40.82236210435381, 29.92618026742793 40.82236046804143, 29.926178105110072 40.82243573836909, 29.926392174578194 40.82244146545573, 29.92640514848535 40.8221608376283, 29.926267841301254 40.82215838315228, 29.9262624355066 40.822255743965215, 29.926183510904718 40.82225492580771, 29.926186754381508 40.822152656041176, 29.926029986336665 40.82215347419994, 29.926023499383085 40.82225738028018, 29.92596511680086 40.82225738028018, 29.925959711006207 40.82215756499358, 29.92581267339174 40.82215838315228, 29.92581375455068 40.82244719254188)))",250,Fen Edebiyat B
7,"MULTIPOLYGON (((29.92578348210064 40.82178693806584, 29.92593268203298 40.821789392555615, 29.9259370066687 40.82168303124862, 29.926044041402765 40.82168548574223, 29.926046203720617 40.821788574392365, 29.926225676102995 40.821788574392365, 29.92622675726192 40.82170757618074, 29.926328386201337 40.821710030673465, 29.92633379199599 40.821782029086, 29.926489478881905 40.82178530173927, 29.926487316564046 40.821444944935486, 29.926318655770967 40.82145067210768, 29.92631649345311 40.82150712563579, 29.9262148645137 40.821507943802516, 29.9262148645137 40.82144739943792, 29.92607215153493 40.82144821760538, 29.92607215153493 40.82149976213485, 29.92596079216515 40.82149976213485, 29.92595971100622 40.821437581427645, 29.925766183557766 40.821437581427645, 29.92576294008097 40.8217893925556, 29.92578348210064 40.82178693806584)))",250,Hukuk Fakültesi
2,"MULTIPOLYGON (((29.920370119338333 40.82118067630877, 29.920466342483095 40.82110908632929, 29.92043498887413 40.8210841320897, 29.920456612052728 40.82106654139058, 29.9204447193045 40.821056723323935, 29.92047931639025 40.82103135997835, 29.92055391635643 40.821090268379, 29.920585810544864 40.82106654139058, 29.920618785892227 40.82109108655085, 29.92088258867113 40.82089758862425, 29.920730685841466 40.820780998691944, 29.920662032249425 40.82083418009001, 29.920514454055482 40.82071963548735, 29.920570133740384 40.82067627212188, 29.92043823235093 40.82057359083208, 29.920181457105063 40.82076218064857, 29.920216054190824 40.820787953184876, 29.92018956579704 40.820810043922314, 29.920269030978382 40.82087386156694, 29.92024362374353 40.82089472501435, 29.92022308172387 40.820879997875686, 29.9202009179658 40.82089349775292, 29.920170645515768 40.820871816130555, 29.920063610781703 40.82095199718923, 29.92016956435683 40.82103463266867, 29.920221459985473 40.820995769460964, 29.920307412120405 40.82106408687408, 29.920262003445348 40.821098450097196, 29.920370119338333 40.82118067630877)))",270,Fen Edebiyat A
4,"MULTIPOLYGON (((29.92374657867658 40.82267709373492, 29.92364819321395 40.82260755075348, 29.924264453804035 40.82212238416004, 29.92437473201489 40.82221156344597, 29.92426229148617 40.822288470256794, 29.92428823930049 40.822308924180824, 29.9241985031093 40.82236374066615, 29.92425147989687 40.82239646690444, 29.924306619002298 40.822350650166314, 29.92433472913448 40.82236946775902, 29.92436067694879 40.82235228647893, 29.924630966681285 40.822558461546215, 29.924506633404338 40.822648458398454, 29.924451494298914 40.8226157322845, 29.924284995823694 40.82273109176433, 29.924329323339816 40.822770363030834, 29.924187691519997 40.82286526849556, 29.924100117646674 40.82280227091774, 29.924067682878782 40.8228202702318, 29.923977946687586 40.82276381782137, 29.924012543773348 40.8227302736127, 29.923935781489323 40.82266809405907, 29.923962810462566 40.82265173100895, 29.923944430760756 40.822632913496335, 29.92398767711796 40.822592823995116, 29.923946593078625 40.8225584615462, 29.923893616291057 40.82260182368117, 29.923866587317807 40.82258464246128, 29.92374657867658 40.82267709373492)))",270,İktisad Fakültesi
1,"MULTIPOLYGON (((29.9234573348764 40.82231994372945, 29.923057846651854 40.82201763414008, 29.923021087248244 40.82204626974891, 29.921850192127305 40.82114383304673, 29.921909655868447 40.82109719727154, 29.921883708054136 40.82107919748988, 29.921949658748844 40.82102519811563, 29.921977768881025 40.82104810694642, 29.922025339873926 40.82101538004285, 29.921953983384572 40.8209589260962, 29.921935603682766 40.82097201687071, 29.92170856030752 40.82079774572326, 29.921744238552193 40.820772382278655, 29.92170856030752 40.820738018886615, 29.921796134180827 40.82067992835007, 29.92183829937909 40.82070856453641, 29.921870734146978 40.82068483741147, 29.922011284807848 40.82079038214356, 29.922202649938416 40.820637383136095, 29.92206426159541 40.820531019981786, 29.922103183316878 40.8205048382561, 29.92206318043647 40.82047292926395, 29.92215268042369 40.82040900822569, 29.922183189077675 40.8204320202772, 29.922217786163433 40.82040829305332, 29.922435099108316 40.82057683797686, 29.922411313611857 40.82059729242872, 29.92251402371019 40.82067420111132, 29.922549701954868 40.820640655845835, 29.92253240341199 40.820624292295534, 29.92260159758349 40.820571110729205, 29.922632951192455 40.820594019716864, 29.92267150126557 40.82055599999753, 29.923815739061617 40.82142937418336, 29.923784385452652 40.82145228287458, 29.92418765773346 40.821765640249424, 29.924094678065494 40.82183600227627, 29.92379735935981 40.82160609816784, 29.92371843475794 40.82166009706919, 29.923843849193787 40.8217590949408, 29.923740057936534 40.82183518411359, 29.92367951303646 40.8217910033142, 29.92348382327019 40.82193581804677, 29.923545449329172 40.82198327139318, 29.92346328125052 40.82204626974889, 29.923340029132522 40.82195872656307, 29.92326434800744 40.82201517965874, 29.92356274787206 40.82224671866441, 29.9234573348764 40.82231994372945)))",550,Mühendislik Fakültesi
